 , , , ,$,$,$,$, , , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , ,%,%, ,^,^, , , , 
 , , , , , , ,%, , , , , , , , 
 , , , , , , , , , , , , , , , 
!,!, ,#,#,#,#,#, , , , , , , , 
 , , , ,#, , , , , , , , , , , 
 , , , , , , ,&, , , , , , , , 
 , , , , , , ,&,&, , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
@,@,@,@,@,@,@,@,@,@,@,@, , , , 
 , , , , , , , , , , , , , , , 
